BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
openssl;1.0.0d;CVE-2014-3568;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;77;
openssl;1.0.0d;CVE-2014-3566;3.4;6;1;0;0/0;2;0;0;0;0;0;no;97;99;
openssl;1.0.0d;CVE-2014-3570;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;12;95;
openssl;0.9.8b;CVE-2011-4619;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;18;96;
openssl;0.9.8b;CVE-2012-0884;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;82;
openssl;1.0.0d;CVE-2014-3571;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;68;98;
openssl;0.9.8b;CVE-2012-0027;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;5;93;
openssl;0.9.8b;CVE-2006-4343;4.3 (v2);20;0;0;0/0;0;1;0;0;0;0;no;1;87;
openssl;1.0.0d;CVE-2014-3572;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;78;
openssl;1.0.0d;CVE-2014-8176;7.5 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
openssl;0.9.8b;CVE-2012-1165;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;11;95;
openssl;1.0.0d;CVE-2014-8275;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;11;95;
openssl;0.9.8b;CVE-2009-3555;5.8 (v2);20;0;0;0/0;0;3;0;0;0;0;no;0;69;
openssl;1.0.0d;CVE-2015-0204;4.3 (v2);6;0;0;0/0;0;0;0;0;0;0;no;94;99;
openssl;0.9.8b;CVE-2012-2333;6.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;4;92;
openssl;0.9.8b;CVE-2013-0166;5.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;80;
